swiss_french,standard_french,dialect,part_of_speech,example_usage,source,notes
panosse,serpillière,valais,noun,Je vais prendre la panosse pour nettoyer,GPSR,Common household term
linge,serviette,valais,noun,Passe-moi le linge,GPSR,Used for towel
se refroidir,attraper froid,valais,verb,Je me suis refroidi hier,GPSR,Health expression
faire le réduit,faire le ménage,valais,verb phrase,Je dois faire le réduit,GPSR,Household chore
ça joue,ça va,geneva,expression,Ça joue?,GPSR,Common greeting
il drache,il pleut fort,geneva,verb,Il drache dehors,GPSR,Weather expression
ribouis,désordre,geneva,noun,C'est le ribouis ici,GPSR,Mess or disorder
poutzer,nettoyer,geneva,verb,Je vais poutzer la maison,GPSR,To clean
carnotzet,cave aménagée,geneva,noun,On se retrouve au carnotzet,GPSR,Wine cellar room
crousille,argent,geneva,noun,J'ai plus de crousille,GPSR,Money (colloquial)
bolze,bonbon,fribourg,noun,Les enfants mangent des bolzes,GPSR,Candy
cheni,désordre,fribourg,noun,Quel cheni dans ta chambre!,GPSR,Mess
gouille,flaque,fribourg,noun,Attention à la gouille!,GPSR,Puddle
poutser,nettoyer,fribourg,verb,Je vais poutser la cuisine,GPSR,To clean
septante,soixante-dix,all,number,J'ai septante ans,common,Number 70
huitante,quatre-vingts,valais,number,Il y a huitante personnes,regional,Number 80
nonante,quatre-vingt-dix,all,number,Ça coûte nonante francs,common,Number 90
déjeuner,petit-déjeuner,all,noun,On prend le déjeuner à 7h,common,Breakfast
dîner,déjeuner,all,noun,Le dîner est à midi,common,Lunch
souper,dîner,all,noun,On soupe à 19h,common,Dinner
